   1.620000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.630000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.640000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.650000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.660000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.670000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.680000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.690000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.700000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.710000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.720000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.730000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.740000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.750000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.760000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.770000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.780000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.790000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.800000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.810000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.820000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.830000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.840000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.850000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.860000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.870000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.880000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.890000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.900000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.910000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.920000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.930000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.940000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.950000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.960000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.970000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.980000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   1.990000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.000000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.010000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.020000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.030000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.040000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.050000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.060000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.070000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.080000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.090000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.100000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.110000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.120000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.130000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.140000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.150000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.160000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.170000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.180000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
   2.190000	 -nan(ind)	 -nan(ind)	 nan	 -nan(ind)
